"","season","posteam","week","penalty_type","plays"
"514",2024,"GB",4,NA,87
"515",2024,"GB",5,"Defensive Too Many Men on Field",1
"516",2024,"GB",5,"Delay of Game",1
"517",2024,"GB",5,"False Start",3
"518",2024,"GB",5,"Neutral Zone Infraction",1
"519",2024,"GB",5,"Offensive Holding",1
"520",2024,"GB",5,NA,71
"521",2024,"GB",6,"Defensive Holding",2
"522",2024,"GB",6,"False Start",1
"523",2024,"GB",6,"Illegal Use of Hands",1
"524",2024,"GB",6,"Neutral Zone Infraction",3
"525",2024,"GB",6,"Unnecessary Roughness",1
"526",2024,"GB",6,NA,84
"527",2024,"GB",7,"Defensive Offside",1
"528",2024,"GB",7,"Defensive Pass Interference",1
"529",2024,"GB",7,"Illegal Block Above the Waist",1
"530",2024,"GB",7,"Offensive Holding",1
"531",2024,"GB",7,"Unnecessary Roughness",1
"532",2024,"GB",7,NA,71
"533",2024,"GB",8,"Defensive Delay of Game",1
"534",2024,"GB",8,"Defensive Pass Interference",1
"535",2024,"GB",8,"False Start",1
"536",2024,"GB",8,"Illegal Shift",1
"537",2024,"GB",8,"Illegal Use of Hands",1
"538",2024,"GB",8,"Offensive Holding",1
"539",2024,"GB",8,NA,84
"540",2024,"HOU",1,"Defensive Holding",2
"541",2024,"HOU",1,"Defensive Offside",1
"542",2024,"HOU",1,"False Start",3
"543",2024,"HOU",1,"Offensive Holding",1
"544",2024,"HOU",1,NA,90
"545",2024,"HOU",2,"False Start",3
"546",2024,"HOU",2,"Illegal Formation",1
"547",2024,"HOU",2,"Illegal Use of Hands",1
"548",2024,"HOU",2,"Offensive Holding",2
"549",2024,"HOU",2,"Unnecessary Roughness",1
"550",2024,"HOU",2,NA,75
"551",2024,"HOU",3,"False Start",5
"552",2024,"HOU",3,"Illegal Formation",2
"553",2024,"HOU",3,"Illegal Use of Hands",1
"554",2024,"HOU",3,"Offensive Holding",1
"555",2024,"HOU",3,NA,77
"556",2024,"HOU",4,"Defensive Holding",1
"557",2024,"HOU",4,"False Start",1
"558",2024,"HOU",4,"Illegal Contact",1
"559",2024,"HOU",4,"Illegal Shift",1
"560",2024,"HOU",4,"Ineligible Downfield Pass",2
"561",2024,"HOU",4,"Offensive Holding",5
"562",2024,"HOU",4,NA,80
"563",2024,"HOU",5,"False Start",1
"564",2024,"HOU",5,"Illegal Touch Kick",1
"565",2024,"HOU",5,"Intentional Grounding",1
"566",2024,"HOU",5,"Offensive Holding",1
"567",2024,"HOU",5,"Taunting",1
"568",2024,"HOU",5,NA,80
"569",2024,"HOU",6,"Defensive Offside",1
"570",2024,"HOU",6,"Defensive Pass Interference",2
"571",2024,"HOU",6,"Illegal Formation",1
"572",2024,"HOU",6,"Illegal Shift",1
"573",2024,"HOU",6,"Offensive Holding",1
"574",2024,"HOU",6,"Taunting",1
"575",2024,"HOU",6,NA,77
"576",2024,"HOU",7,"Defensive Offside",3
"577",2024,"HOU",7,"Defensive Pass Interference",1
"578",2024,"HOU",7,"Illegal Formation",1
"579",2024,"HOU",7,"Neutral Zone Infraction",1
"580",2024,"HOU",7,"Unsportsmanlike Conduct",1
"581",2024,"HOU",7,NA,72
"582",2024,"HOU",8,"Defensive Offside",1
"583",2024,"HOU",8,"Defensive Pass Interference",1
"584",2024,"HOU",8,"False Start",2
"585",2024,"HOU",8,"Illegal Block Above the Waist",1
"586",2024,"HOU",8,"Illegal Formation",1
"587",2024,"HOU",8,NA,86
"588",2024,"IND",1,"False Start",1
"589",2024,"IND",1,"Illegal Contact",1
"590",2024,"IND",1,NA,57
"591",2024,"IND",2,"False Start",1
"592",2024,"IND",2,"Illegal Formation",1
"593",2024,"IND",2,"Offensive Holding",1
